R	3.2320	1.5745	0.8979	1477010443500000	-0.0353	3.1982	-0.1409	0.9900
R	3.7851	1.6332	0.6637	1477010444300000	-0.2519	3.9662	-0.3827	0.9239
R	4.8577	1.7051	0.2675	1477010445100000	-0.6526	4.6562	-0.6004	0.7997
R	5.6751	1.7902	1.1291	1477010445900000	-1.2124	5.2248	-0.7804	0.6252
R	6.3546	1.8860	0.1929	1477010446700000	-1.8960	5.6363	-0.9114	0.4115
R	6.4960	1.9455	1.1535	1477010447500000	-2.6604	5.8649	-0.9851	0.1719
R	6.7051	2.0870	-0.3030	1477010448300000	-3.4577	5.8963	-0.9969	-0.0785
R	7.0393	2.2037	0.3132	1477010449100000	-4.2377	5.7283	-0.9461	-0.3239
R	8.0038	2.2878	-0.1501	1477010449900000	-4.9515	5.3717	-0.8358	-0.5490
R	6.8826	2.3675	-0.4302	1477010450700000	-5.5541	4.8487	-0.6730	-0.7396
R	7.6656	2.5423	0.2780	1477010451500000	-6.0078	4.1923	-0.4679	-0.8838
R	7.9385	2.6590	-0.0995	1477010452300000	-6.2840	3.4438	-0.2335	-0.9724
R	6.6696	2.7912	-0.1728	1477010453100000	-6.3653	2.6500	0.0157	-0.9999
R	7.0726	2.8191	-0.4040	1477010453900000	-6.2467	1.8610	0.2639	-0.9646
R	6.3131	2.9606	-1.3121	1477010454700000	-5.9355	1.1262	0.4954	-0.8686
R	6.0189	3.0040	-0.4502	1477010455500000	-5.4515	0.4919	0.6959	-0.7181
R	4.7183	-3.1403	-0.5992	1477010456300000	-4.8249	-0.0020	0.8526	-0.5225
R	4.2005	-3.0724	-1.5655	1477010457100000	-4.0951	-0.3247	0.9558	-0.2941
R	3.2354	-2.9930	-0.5733	1477010457900000	-3.3080	-0.4557	0.9989	-0.0471
R	2.5353	-3.0209	-1.0891	1477010458700000	-2.5131	-0.3868	0.9792	0.2028
R	1.7554	-3.0687	-1.3402	1477010459500000	-1.7603	-0.1225	0.8980	0.4399
R	0.9023	2.8648	-0.5443	1477010460300000	-1.0968	0.3208	0.7604	0.6494
R	1.3136	2.1245	0.4793	1477010461100000	-0.5645	0.9152	0.5750	0.8181
R	1.8258	1.7183	0.5730	1477010461900000	-0.1967	1.6233	0.3535	0.9354
R	2.3684	1.5630	1.0505	1477010462700000	-0.0165	2.4006	0.1098	0.9940
R	2.7866	1.5591	1.5164	1477010463500000	0.0212	3.1991	0.1098	0.9940
R	4.1144	1.4813	0.7402	1477010464300000	0.2135	3.9735	0.3535	0.9354
R	4.3890	1.3750	1.0031	1477010465100000	0.5924	4.6757	0.5750	0.8181
R	5.5675	1.3118	0.8652	1477010465900000	1.1340	5.2616	0.7604	0.6494
R	6.4164	1.3015	0.6084	1477010466700000	1.8044	5.6944	0.8980	0.4399
R	6.3898	1.2144	0.4766	1477010467500000	2.5613	5.9470	0.9792	0.2028
R	7.0498	1.0714	0.1547	1477010468300000	3.3572	6.0033	0.9989	-0.0471
R	7.2016	0.9877	0.6329	1477010469100000	4.1421	5.8600	0.9558	-0.2941
R	7.0652	0.8945	-0.1638	1477010469900000	4.8667	5.5259	0.8526	-0.5225
R	7.6174	0.7390	0.6030	1477010470700000	5.4855	5.0221	0.6959	-0.7181
R	7.7114	0.6098	0.1686	1477010471500000	5.9595	4.3803	0.4954	-0.8686
R	7.0226	0.5082	-0.2663	1477010472300000	6.2591	3.6408	0.2639	-0.9646
R	7.3171	0.4245	-0.7444	1477010473100000	6.3653	2.8500	0.0157	-0.9999
R	6.5751	0.3234	-0.8541	1477010473900000	6.2715	2.0576	-0.2335	-0.9724
R	5.6898	0.2305	-0.8041	1477010474700000	5.9836	1.3135	-0.4679	-0.8838
R	5.2779	0.1384	-0.6270	1477010475500000	5.5197	0.6643	-0.6730	-0.7396
R	4.5803	0.0497	-0.6191	1477010476300000	4.9089	0.1509	-0.8358	-0.5490
R	3.9985	-0.0486	-0.9279	1477010477100000	4.1896	-0.1945	-0.9461	-0.3239
R	3.4217	-0.1353	-1.2665	1477010477900000	3.4071	-0.3502	-0.9969	-0.0785
R	2.7564	-0.1143	-0.8238	1477010478700000	2.6104	-0.3064	-0.9851	0.1719
R	2.0563	0.0258	-0.6362	1477010479500000	1.8496	-0.0658	-0.9114	0.4115
R	1.4027	0.2764	-0.6590	1477010480300000	1.1726	0.3565	-0.7804	0.6252
R	1.2534	0.9631	0.3465	1477010481100000	0.6218	0.9338	-0.6004	0.7997
R	1.2765	1.4531	0.7082	1477010481900000	0.2319	1.6300	-0.3827	0.9239
R	2.6889	1.5402	0.6947	1477010482700000	0.0274	2.4012	-0.1409	0.9900
